HREF HCALCULADA QOUT QIN;
0.5 0.5 0 0.0 ;
0.5 0.4985 0.03530226621620771 0.021060000000000016 ;
0.5 0.49948958000000004 0.03533728837927438 0.016436296799999386 ;
0.5 0.49993059428239994 0.03535288511148701 0.013398851875104537 ;
0.5 0.5000118670208151 0.03535575861938247 0.012686709962523714 ;
0.5 0.5000088631953304 0.035355652419214754 0.012655545483691171 ;
0.5 0.5000021909728201 0.03535541652182944 0.012694448940594821 ;
0.5 0.5000001293748918 0.035355343633420244 0.012709853563479624 ;
0.5 0.49999989170725767 0.03535533523060055 0.012712390880231468 ;
0.5 0.49999995415600323 0.035355337438497295 0.01271218334899135 ;
0.5 0.49999999192871625 0.0353553387739644 0.01271193633600066 ;
0.5 0.5000000004405781 0.035355339074904166 0.012711866709993427 ;
0.5 0.5000000007110357 0.03535533908446629 0.012711860189996652 ;
0.5 0.5000000002113222 0.03535533906679874 0.012711862811773621 ;
0.5 0.5000000000224775 0.03535533906012208 0.012711864157182373 ;
0.5 0.4999999999929575 0.03535533905907839 0.012711864432731628 ;
0.5 0.49999999999604106 0.03535533905918741 0.012711864432961332 ;
0.5 0.4999999999991424 0.03535533905929706 0.01271186441388462 ;
0.5 0.49999999999998335 0.035355339059326786 0.012711864407377763 ;
0.5 0.500000000000054 0.035355339059329284 0.012711864406489312 ;
0.5 0.5000000000000195 0.03535533905932807 0.012711864406578692 ;
0.5 0.4999999999999958 0.03535533905932723 0.012711864406791507 ;
0.5 0.49999999999999717 0.03535533905932728 0.012711864406798092 ;
0.5 0.49999999999999933 0.035355339059327355 0.012711864406785192 ;
0.5 0.49999999999999994 0.035355339059327376 0.012711864406780734 ;
0.5 0.5000000000000001 0.03535533905932738 0.012711864406778737 ;
0.5 0.5 0.03535533905932738 0.01271186440677961 ;
0.5 0.49999999999999994 0.035355339059327376 0.012711864406780387 ;
0.5 0.5 0.03535533905932738 0.01271186440677995 ;
0.5 0.5 0.03535533905932738 0.01271186440677995 ;
0.5 0.5 0.03535533905932738 0.01271186440677995 ;
0.5 0.5 0.03535533905932738 0.01271186440677995 ;
0.8 0.5 0.03535533905932738 0.0333 ;
0.8 0.5024294 0.03544112723940931 0.0333 ;
0.8 0.5048515118000001 0.03552645182818009 0.0333 ;
0.8 0.5072663572646002 0.03561131692540309 0.0333 ;
0.8 0.5096739581928065 0.03569572657170626 0.0333 ;
0.8 0.5120743363182282 0.035779684749806986 0.0333 ;
0.8 0.5144675133092735 0.035863195385704046 0.0333 ;
0.8 0.5168535107693458 0.03594626234983777 0.0333 ;
0.8 0.5192323502370378 0.03602888945821942 0.0333 ;
0.8 0.5216040531863269 0.036111080473530795 0.0333 ;
0.8 0.523968641026768 0.03619283910619502 0.0333 ;
0.8 0.5263261351036878 0.03627416901541949 0.0333 ;
0.8 0.5286765566983768 0.03635507381021172 0.0333 ;
0.8 0.5310199270282817 0.03643555705036914 0.0333 ;
0.8 0.533356267247197 0.03651562224744353 0.0333 ;
0.8 0.5356855984454555 0.03659527286568087 0.0333 ;
0.8 0.5380079416501192 0.03667451232293755 0.0333 ;
0.8 0.540323317825169 0.03675334399157337 0.0333 ;
0.8 0.5426317478716935 0.036831771199322384 0.0333 ;
0.8 0.5449332526280786 0.036909797230141976 0.0333 ;
0.8 0.5472278528701944 0.036987425325041026 0.0333 ;
0.8 0.5495155693115839 0.037064658682887656 0.0333 ;
0.8 0.5517964226036491 0.037141500461197345 0.0333 ;
0.8 0.5540704333358383 0.037217953776901756 0.0333 ;
0.8 0.5563376220358308 0.03729402170709908 0.0333 ;
0.8 0.5585980091697234 0.037369707289786315 0.0333 ;
0.8 0.5608516151422143 0.03744501352457408 0.0333 ;
0.8 0.5630984602967877 0.037519943373384365 0.0333 ;
0.8 0.5653385649158974 0.03759449976113186 0.0333 ;
0.8 0.5675719492211498 0.03766868557638924 0.0333 ;
0.8 0.5697986333734865 0.03774250367203687 0.0333 ;
0.8 0.5720186374733661 0.037815956865897435 0.0333 ;
0.8 0.5742319815609461 0.0378890479413559 0.0333 ;
0.8 0.5764386856162633 0.03796177964796512 0.0333 ;
0.8 0.5786387695594146 0.038034154702037706 0.0333 ;
0.8 0.5808322532507365 0.038106175787224326 0.0333 ;
0.8 0.5830191564909843 0.03817784555507894 0.0333 ;
0.8 0.5851994990215115 0.03824916662561132 0.0333 ;
0.8 0.587373300524447 0.03832014158782712 0.0333 ;
0.8 0.5895405806228737 0.03839077300025599 0.0333 ;
0.8 0.5917013588810052 0.03846106339146791 0.0333 ;
0.8 0.5938556548043622 0.038531015260578144 0.0333 ;
0.8 0.5960034878399492 0.038600631077741115 0.0333 ;
0.8 0.5981448773764294 0.03866991328463349 0.0333 ;
0.8 0.6002798427443002 0.038738864294926754 0.0333 ;
0.8 0.6024084032160674 0.03880748649474955 0.0333 ;
0.8 0.6045305780064193 0.03887578224314012 0.0333 ;
0.8 0.6066463862724001 0.03894375387248898 0.0333 ;
0.8 0.608755847113583 0.03901140368897225 0.0333 ;
0.8 0.6108589795722423 0.03907873397297571 0.0333 ;
0.8 0.6129558026335257 0.039145746979509975 0.0333 ;
0.8 0.6150463352256251 0.03921244493861691 0.0333 ;
0.8 0.6171305962199484 0.039278830055767586 0.0333 ;
0.8 0.6192086044312886 0.03934490451225192 0.0333 ;
0.8 0.6212803786179948 0.0394106704655603 0.0333 ;
0.8 0.6233459374821408 0.039476130049757314 0.0333 ;
0.8 0.6254052996696945 0.039541285375847814 0.0333 ;
0.8 0.6274584837706855 0.03960613853213557 0.0333 ;
0.8 0.6295055083193735 0.03967069158457455 0.0333 ;
0.8 0.6315463917944154 0.039734946577113184 0.0333 ;
0.8 0.6335811526190323 0.039798905532031664 0.0333 ;
0.8 0.6356098091611753 0.0398625704502725 0.0333 ;
0.8 0.6376323797336918 0.03992594331176447 0.0333 ;
0.8 0.6396488825944908 0.039989026075740175 0.0333 ;
0.8 0.6416593359467074 0.04005182068104731 0.0333 ;
0.8 0.6436637579388674 0.04011432904645382 0.0333 ;
0.8 0.6456621666650509 0.040176553070947085 0.0333 ;
0.8 0.6476545801650558 0.040238494634027254 0.0333 ;
0.8 0.6496410164245607 0.04030015559599494 0.0333 ;
0.8 0.6516214933752872 0.040361537798233336 0.0333 ;
0.8 0.6535960288951614 0.0404226430634849 0.0333 ;
0.8 0.655564640808476 0.04048347319612276 0.0333 ;
0.8 0.6575273468860506 0.040544029982416976 0.0333 ;
0.8 0.6594841648453925 0.04060431519079569 0.0333 ;
0.8 0.6614351123508564 0.040664330572101406 0.0333 ;
0.8 0.663380207013804 0.04072407785984245 0.0333 ;
0.8 0.6653194663927626 0.040783558770439675 0.0333 ;
0.8 0.6672529079935844 0.04084277500346862 0.0333 ;
0.8 0.6691805492696037 0.04090172824189718 0.0333 ;
0.8 0.671102407621795 0.04096042015231884 0.0333 ;
0.8 0.6730185003989296 0.04101885238518167 0.0333 ;
0.8 0.674928844897733 0.0410770265750131 0.0333 ;
0.8 0.6768334583630399 0.0411349443406406 0.0333 ;
0.8 0.6787323579879508 0.041192607285408356 0.0333 ;
0.8 0.6806255609139871 0.041250016997390046 0.0333 ;
0.8 0.6825130842312452 0.04130717504959778 0.0333 ;
0.8 0.6843949449785516 0.04136408300018724 0.0333 ;
0.8 0.686271160143616 0.04142074239265926 0.0333 ;
0.8 0.6881417466631853 0.04147715475605774 0.0333 ;
0.8 0.6900067214231959 0.041533321605164084 0.0333 ;
0.8 0.6918661012589263 0.04158924444068822 0.0333 ;
0.8 0.6937199029551496 0.041644924749456254 0.0333 ;
0.8 0.6955681432462842 0.04170036400459486 0.0333 ;
0.8 0.6974108388165454 0.041755563665712425 0.0333 ;
0.8 0.6992480063000959 0.0418105251790771 0.0333 ;
0.8 0.7010796622811957 0.041865249977791716 0.0333 ;
0.8 0.7029058232943521 0.041919739481965784 0.0333 ;
0.8 0.7047265058244692 0.041973995098884415 0.0333 ;
0.8 0.7065417263069959 0.04202801822317453 0.0333 ;
0.8 0.708351501128075 0.04208181023696803 0.0333 ;
0.8 0.7101558466246909 0.04213537251006246 0.0333 ;
0.8 0.7119547790848169 0.04218870640007871 0.0333 ;
0.8 0.7137483147475625 0.04224181325261626 0.0333 ;
0.8 0.7155364698033199 0.042294694401405715 0.0333 ;
0.8 0.71731926039391 0.04234735116845888 0.0333 ;
0.8 0.7190967026127284 0.04239978486421625 0.0333 ;
0.8 0.7208688125048903 0.04245199678769217 0.0333 ;
0.8 0.7226356060673758 0.04250398822661751 0.0333 ;
0.8 0.7243970992491737 0.042555760457580055 0.0333 ;
0.8 0.7261533079514263 0.04260731474616261 0.0333 ;
0.8 0.7279042480275721 0.04265865234707879 0.0333 ;
0.8 0.7296499352834895 0.04270977450430667 0.0333 ;
0.8 0.7313903854776391 0.04276068245122028 0.0333 ;
0.8 0.7331256143212063 0.04281137741071894 0.0333 ;
0.8 0.7348556374782427 0.042861860595354545 0.0333 ;
0.8 0.736580470565808 0.04291213320745684 0.0333 ;
0.8 0.7383001291541107 0.04296219643925665 0.0333 ;
0.8 0.7400146287666485 0.043012051473007205 0.0333 ;
0.8 0.7417239848803486 0.04306169948110353 0.0333 ;
0.8 0.7434282129257077 0.043111141626199945 0.0333 ;
0.8 0.7451273282869306 0.043160379061325756 0.0333 ;
0.8 0.7468213463020699 0.043209412929999115 0.0333 ;
0.8 0.7485102822631637 0.04325824436633911 0.0333 ;
0.8 0.7501941514163744 0.04330687449517612 0.0333 ;
0.8 0.7518729689621253 0.04335530443216047 0.0333 ;
0.8 0.753546750055239 0.04340353528386942 0.0333 ;
0.8 0.7552155098050733 0.04345156814791249 0.0333 ;
0.8 0.7568792632756582 0.043499404113035225 0.0333 ;
0.8 0.7585380254858314 0.0435470442592213 0.0333 ;
0.8 0.760191811409374 0.04359448965779317 0.0333 ;
0.8 0.761840635975146 0.04364174137151112 0.0333 ;
0.8 0.7634845140672206 0.04368880045467089 0.0333 ;
0.8 0.765123460525019 0.0437356679531998 0.0333 ;
0.8 0.7667574901434441 0.04378234490475139 0.0333 ;
0.8 0.7683866176730139 0.04382883233879879 0.0333 ;
0.8 0.7700108578199949 0.04387513127672654 0.0333 ;
0.8 0.771630225246535 0.04392124273192116 0.0333 ;
0.8 0.7732447345707955 0.04396716770986037 0.0333 ;
0.8 0.7748544003670832 0.04401290720820096 0.0333 ;
0.8 0.776459237165982 0.044058462216865386 0.0333 ;
0.8 0.7780592594544841 0.044103833718127164 0.0333 ;
0.8 0.7796544816761207 0.04414902268669491 0.0333 ;
0.8 0.7812449182310924 0.044194030089795285 0.0333 ;
0.8 0.7828305834763992 0.04423885688725465 0.0333 ;
0.8 0.7844114917259701 0.04428350403157959 0.0333 ;
0.8 0.7859876572507923 0.04432797246803627 0.0333 ;
0.8 0.78755909427904 0.04437226313472867 0.0333 ;
0.8 0.789125816996203 0.04441637696267569 0.0333 ;
0.8 0.7906878395452145 0.0444603148758872 0.0333 ;
0.8 0.792245176026579 0.044504077791438924 0.0333 ;
0.8 0.7937978404984993 0.0445476666195464 0.0333 ;
0.8 0.795345846977004 0.04459108226363776 0.0333 ;
0.8 0.796889209436073 0.044634325620425616 0.0333 ;
0.8 0.7984279418077649 0.04467739757997787 0.030920883186515057 ;
0.8 0.7996813221983503 0.04471245134742532 0.023038742130708993 ;
0.8 0.800000849803179 0.04472138330271044 0.020522003373109787 ;
0.8 0.8000224436517964 0.04472198686473457 0.020213573954875087 ;
0.8 0.8000075780475162 0.04472157136236148 0.02028358527086765 ;
0.8 0.8000010183753361 0.04472138801444272 0.020328850734626442 ;
0.8 0.7999998197068959 0.044721354510650055 0.02033938647994961 ;
0.8 0.7999998678524092 0.0447213558563582 0.020339824728327096 ;
0.8 0.7999999675667945 0.044721358643460135 0.0203393416290742 ;
0.8 0.8000000099763249 0.04472135982884255 0.02033894663647718 ;
0.8 0.8000000056495001 0.044721359707904126 0.020338945731409454 ;
0.8 0.800000001228858 0.04472135958434342 0.020338972883315185 ;
0.8 0.8000000000254026 0.04472135955070582 0.020338982185486246 ;
0.8 0.7999999999232138 0.04472135954784956 0.020338983700498803 ;
0.8 0.800000000000103 0.044721359549998674 0.02033898309551396 ;
0.8 0.8000000000053733 0.044721359550145987 0.02033898302088236 ;
0.8 0.8000000000018213 0.044721359550046705 0.020338983037546374 ;
0.8 0.8000000000002463 0.04472135955000268 0.02033898304840377 ;
0.8 0.7999999999999573 0.0447213595499946 0.02033898305107147 ;
0.8 0.7999999999999838 0.04472135954999534 0.020338983050963082 ;
0.8 0.7999999999999976 0.04472135954999573 0.020338983050869973 ;
0.8 0.8000000000000003 0.04472135954999581 0.020338983050847657 ;
0.8 0.8000000000000003 0.04472135954999581 0.020338983050846283 ;
0.8 0.8000000000000003 0.04472135954999581 0.02033898305084491 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
0.8 0.8 0.044721359549995794 0.020338983050846655 ;
